"Wilshire 5000 (Full Cap) Total Market",""
"Index Dates","Period Return","Index Values"
"19971216","0.61","29.0202100"
"19971217","-0.13","28.9826700"
"19971218","-1.05","28.6771400"
"19971219","-0.67","28.4855600"
"19971222","0.58","28.6510800"
"19971223","-1.16","28.3187900"
"19971224","-0.55","28.1626300"
"19971226","0.34","28.2570100"
"19971229","1.63","28.7171400"
"19971230","1.77","29.2253900"
"19971231","0.22","29.2884800"
"19980102","0.28","29.3691800"
"19980105","0.22","29.4349600"
"19980106","-1.02","29.1361000"
"19980107","-0.34","29.0370200"
"19980108","-0.79","28.8062200"
"19980109","-2.94","27.9591000"
"19980112","0.74","28.1660400"
"19980113","1.51","28.5923100"
"19980114","0.65","28.7782600"
"19980115","-0.57","28.6135900"
"19980116","1.10","28.9286400"
"19980120","1.62","29.3982900"
"19980121","-0.62","29.2150600"
"19980122","-0.82","28.9752000"
"19980123","-0.54","28.8182700"
"19980126","-0.21","28.7566200"
"19980127","0.97","29.0369900"
"19980128","1.02","29.3327000"
"19980129","0.79","29.5655400"
"19980130","-0.40","29.4476200"
"19980202","1.90","30.0071700"
"19980203","0.54","30.1704800"
"19980204","0.27","30.2518700"
"19980205","-0.15","30.2071900"
"19980206","0.77","30.4382800"
"19980209","-0.08","30.4134500"
"19980210","0.82","30.6621100"
"19980211","0.19","30.7199700"
"19980212","0.35","30.8276100"
"19980213","-0.22","30.7604700"
"19980217","0.15","30.8078800"
"19980218","0.82","31.0602300"
"19980219","-0.21","30.9944500"
"19980220","0.39","31.1139300"
"19980223","0.44","31.2510300"
"19980224","-0.72","31.0273300"
"19980225","1.16","31.3857900"
"19980226","0.58","31.5677100"
"19980227","0.08","31.5914400"
"19980302","-0.13","31.5506400"
"19980303","0.36","31.6634700"
"19980304","-0.41","31.5322800"
"19980305","-1.01","31.2150900"
"19980306","1.83","31.7873600"
"19980309","-0.30","31.6907100"
"19980310","1.06","32.0254000"
"19980311","0.48","32.1795300"
"19980312","0.15","32.2281600"
"19980313","-0.04","32.2150600"
"19980316","0.87","32.4956100"
"19980317","0.11","32.5300500"
"19980318","0.50","32.6932200"
"19980319","0.41","32.8271700"
"19980320","0.60","33.0237100"
"19980323","-0.28","32.9301100"
"19980324","0.84","33.2077900"
"19980325","-0.21","33.1371500"
"19980326","-0.02","33.1313600"
"19980327","-0.38","33.0050500"
"19980330","-0.20","32.9382900"
"19980331","0.71","33.1724900"
"19980401","0.70","33.4052500"
"19980402","0.85","33.6884800"
"19980403","0.21","33.7602800"
"19980406","-0.28","33.6650200"
"19980407","-1.02","33.3233200"
"19980408","-0.48","33.1632300"
"19980409","0.81","33.4308300"
"19980413","-0.01","33.4269500"
"19980414","0.67","33.6509700"
"19980415","0.40","33.7850100"
"19980416","-0.86","33.4929600"
"19980417","1.11","33.8645000"
"19980420","0.18","33.9257000"
"19980421","0.27","34.0161400"
"19980422","0.29","34.1146100"
"19980423","-1.09","33.7434900"
"19980424","-0.96","33.4201100"
"19980427","-2.10","32.7175400"
"19980428","0.19","32.7807400"
"19980429","0.91","33.0802400"
"19980430","1.47","33.5662300"
"19980501","0.64","33.7795200"
